id,group,verdict,in,out,cacheR,cacheW,total,cost_usd,lat_s,ctx_peak,compactions
s11,S1,FAIL,3,6,0,31974,31983,0.12,2.7,31977,0
s12,S1,FAIL,3,34,29857,2095,31989,0.01733,2.5,31955,0
s13,S1,PASS,10,548,188241,5136,193935,0.08399,19.1,32626,0
s14,S1,PASS,3,5,29857,2141,32006,0.01707,3.5,32001,0
s15,S1,N/A,3,35,29857,2132,32027,0.01749,2.0,31992,0
s21,S2,N/A,3,148,29857,2150,32158,0.01925,5.2,32010,0
s22,S2,N/A,6,729,126236,2876,129847,0.05961,19.3,32734,0
s23,S2,PASS,8,269,127007,2881,130165,0.05296,10.5,32739,0
s31,S3,PASS,3,14,29857,2191,32065,0.01739,2.1,32051,0
s32,S3,PASS,4,107,61923,2330,64364,0.02893,5.7,32188,0
s33,S3,PASS,5,259,94147,2487,96898,0.04147,15.7,32345,0
s41,S4,N/A,6,1050,127148,3514,131718,0.06709,28.2,33372,0
s42,S4,N/A,5,268,64422,32905,97600,0.14676,10.6,32906,0
s43,S4,N/A,4,280,62059,3065,65408,0.03432,7.4,32997,0
s51,S5,PASS,4,357,62056,2646,65063,0.03391,16.7,32578,0
s52,S5,PASS,7,423,94710,2777,97917,0.04519,12.1,32709,0
s53,S5,PASS,4,214,62109,2473,64800,0.03113,7.2,32405,0
s61,S6,PASS,7,485,159297,2744,162533,0.06538,16.9,32676,0
s62,S6,PASS,4,123,62088,2362,64577,0.02934,4.5,32294,0
s63,S6,N/A,3,81,29931,2208,32223,0.01848,3.5,32142,0
s71,S7,PASS,6,971,128389,3867,133233,0.0676,17.3,33799,0
