id,group,verdict,in,out,cacheR,cacheW,total,cost_usd,lat_s,ctx_peak,compactions
s11,S1,PASS,4,135,13802,13978,27919,0.0586,6.0,0,0
s12,S1,PASS,3,22,0,13844,13869,0.05225,3.4,0,0
s13,S1,PASS,8,333,41403,14583,56327,0.07213,11.4,0,0
s14,S1,PASS,3,28,13525,341,13897,0.00577,3.4,0,0
s15,S1,N/A,4,86,27382,432,27904,0.01114,4.9,0,0
s21,S2,N/A,5,889,41351,1337,43582,0.03077,23.0,0,0
s22,S2,N/A,5,616,29524,15674,45819,0.07689,12.7,0,0
s23,S2,PASS,10,1080,122975,2665,126730,0.06312,23.1,0,0
s31,S3,PASS,3,51,13921,329,14304,0.00618,4.4,0,0
s32,S3,PASS,5,213,42601,632,43451,0.01836,8.0,0,0
s33,S3,PASS,6,345,57151,760,58262,0.02519,10.5,0,0
s41,S4,N/A,4,463,28191,469,29127,0.01717,15.7,0,0
s42,S4,N/A,6,1935,58125,3782,63848,0.06066,81.6,0,0
s43,S4,N/A,4,209,14280,14497,28990,0.06179,7.0,0,0
s51,S5,PASS,4,649,28222,1648,30523,0.02439,16.4,0,0
s52,S5,PASS,4,239,28259,709,29211,0.01473,9.0,0,0
s53,S5,PASS,4,243,28275,790,29312,0.0151,8.6,0,0
s61,S6,FAIL,6,362,57314,771,58453,0.02553,10.6,0,0
s62,S6,PASS,5,239,42722,688,43654,0.019,8.2,0,0
s63,S6,N/A,4,222,28236,531,28993,0.0138,8.1,0,0
s71,S7,PASS,8,1473,93642,3554,98677,0.06354,24.4,0,0
