phase,run,cond,scn,verdict,agent_total,agent_cost
A,1,builtin,hm1,FAIL,321789,0.32058
A,1,builtin,hm2,FAIL,139336,0.23183
A,1,builtin,hm3,PASS,113865,0.22128
A,1,builtin,hm4,FAIL,152290,0.23737
A,1,builtin,hm5,PASS,75625,0.11862
A,1,hindsight,hm1,PASS,156962,0.11743
A,1,hindsight,hm2,PASS,129469,0.05619
A,1,hindsight,hm3,PASS,129531,0.05619
A,1,hindsight,hm4,FAIL,155793,0.06802
A,1,hindsight,hm5,PASS,90602,0.04003
A,2,builtin,hm1,FAIL,152732,0.28364
A,2,builtin,hm2,FAIL,139336,0.23187
A,2,builtin,hm3,PASS,139742,0.23351
A,2,builtin,hm4,FAIL,152306,0.23752
A,2,builtin,hm5,PASS,75619,0.11853
A,2,hindsight,hm1,PASS,143186,0.10882
A,2,hindsight,hm2,PASS,129453,0.05617
A,2,hindsight,hm3,PASS,129472,0.05553
A,2,hindsight,hm4,PASS,155885,0.06934
A,2,hindsight,hm5,PASS,103753,0.04611
A,3,builtin,hm1,FAIL,165845,0.29153
A,3,builtin,hm2,FAIL,171849,0.27031
A,3,builtin,hm3,PASS,126918,0.22814
A,3,builtin,hm4,FAIL,152284,0.23738
A,3,builtin,hm5,PASS,75629,0.11868
A,3,hindsight,hm1,PASS,143889,0.1135
A,3,hindsight,hm2,FAIL,142869,0.06415
A,3,hindsight,hm3,PASS,129462,0.05534
A,3,hindsight,hm4,PASS,155791,0.06777
A,3,hindsight,hm5,PASS,103759,0.04611
