label,harness,group,lat_s,in,out,cacheR,cacheW,total,ctx_peak,ctx_per_turn,cacheW_ratio,compactions,tools
cc_s11,cc,S1,12.5,6,412,94787,31921,127126,31922,132,0.25,0,3
cc_s12,cc,S1,1.5,3,24,29791,1692,31510,31486,31486,0.05,0,0
cc_s13a,cc,S1,13.7,8,935,190424,3080,194447,32872,229,0.02,0,5
cc_s13b,cc,S1,3.5,4,117,61286,1996,63403,31788,145,0.03,0,1
cc_s14,cc,S1,1.1,3,5,29791,1713,31512,31507,31507,0.05,0,0
cc_s15,cc,S1,2.5,3,64,29791,1704,31562,31498,31498,0.05,0,0
cc_s21,cc,S2,4.3,3,119,29791,1722,31635,31516,31516,0.05,0,0
cc_s22,cc,S2,20.2,8,987,192567,36455,230017,66247,8680,0.16,0,3
cc_s23,cc,S2,6.0,5,188,92902,1955,95050,31747,80,0.02,0,2
cc_s31a,cc,S3,3.1,4,99,61286,1805,63194,31597,50,0.03,0,1
cc_s31b,cc,S3,1.4,3,14,29791,1701,31509,31495,31495,0.05,0,0
cc_s32,cc,S3,4.1,4,107,61299,1838,63248,31630,119,0.03,0,1
cc_s33,cc,S3,5.9,5,244,92968,1994,95211,31786,64,0.02,0,2
cc_s41,cc,S4,68.0,19,3528,934536,39517,977600,69309,1575,0.04,0,15
cc_s42,cc,S4,26.5,6,1103,124873,2856,128838,32648,359,0.02,0,3
cc_s43,cc,S4,8.7,3,409,0,31565,31977,31568,31568,1.0,0,0
cc_s51,cc,S5,18.7,4,386,61426,2342,64158,32204,212,0.04,0,2
cc_s51b,cc,S5,1.2,3,5,29861,1699,31568,31563,31563,0.05,0,0
cc_s52,cc,S5,4.7,4,313,61463,2090,63870,31952,87,0.03,0,3
cc_s53,cc,S5,4.5,4,212,61479,1982,63677,31844,74,0.03,0,2
cc_s61,cc,S6,12.2,7,431,156975,2250,159663,32112,104,0.01,0,4
cc_s62,cc,S6,4.1,4,123,61458,1872,63457,31734,134,0.03,0,1
cc_s63,cc,S6,2.6,3,80,29861,1718,31662,31582,31582,0.05,0,0
he_s11,hermes,S1,5.0,4,129,13802,13976,27911,,,0.5,,1
he_s12,hermes,S1,2.6,3,22,0,13842,13867,,,1.0,,0
he_s13a,hermes,S1,7.6,5,305,41399,737,42446,,,0.02,,2
he_s13b,hermes,S1,2.8,3,45,0,13860,13908,,,1.0,,0
he_s14,hermes,S1,2.8,3,28,13528,341,13900,,,0.02,,0
he_s15,hermes,S1,4.3,4,86,27388,433,27911,,,0.02,,1
he_s21,hermes,S2,30.3,7,1520,70570,2171,74268,,,0.03,,5
he_s22,hermes,S2,11.8,5,538,29625,15736,45904,,,0.35,,2
he_s23,hermes,S2,7.8,5,482,43526,1870,45883,,,0.04,,2
he_s31a,hermes,S3,9.3,5,597,43661,2103,46366,,,0.05,,3
he_s31b,hermes,S3,3.0,3,53,13922,329,14307,,,0.02,,0
he_s32,hermes,S3,6.7,4,194,28189,489,28876,,,0.02,,1
he_s32r,hermes,S3,8.3,5,191,42628,624,43448,,,0.01,,2
he_s33,hermes,S3,9.8,6,349,57156,773,58284,,,0.01,,3
he_s41,hermes,S4,30.4,5,1316,42582,1611,45514,,,0.04,,2
he_s42,hermes,S4,21.2,5,669,29750,16251,46675,,,0.35,,2
he_s43,hermes,S4,22.8,4,695,28218,3296,32213,,,0.1,,2
he_s51,hermes,S5,37.1,5,771,43811,2923,47510,,,0.06,,3
he_s51b,hermes,S5,2.3,3,5,13943,327,14278,,,0.02,,0
he_s52,hermes,S5,9.5,4,261,28255,723,29243,,,0.02,,3
he_s53,hermes,S5,8.3,4,257,28271,803,29335,,,0.03,,3
he_s61,hermes,S6,8.9,6,291,57446,977,58720,,,0.02,,3
he_s62,hermes,S6,5.8,4,196,28250,523,28973,,,0.02,,1
he_s62r,hermes,S6,7.0,5,229,42754,697,43685,,,0.02,,2
he_s63,hermes,S6,6.9,4,169,28232,531,28936,,,0.02,,1
